date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:04:54	364327/364327	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202025%2009:04:52%20GMT	https://42-cursus.gitbook.io/guide	42-cursus.gitbook.io/guide.html	(from )
10:04:54	0/0	---M--	307	error ('Temporary%20Redirect')	text/html	date:Mon,%2017%20Feb%202025%2009:04:53%20GMT	https://42-cursus.gitbook.io/robots.txt		(from )
10:04:55	1401/1401	---MC-	200	added ('OK')	image/png	date:Mon,%2017%20Feb%202025%2009:04:54%20GMT	https://42-cursus.gitbook.io/guide/~gitbook/icon?size=small&theme=light	42-cursus.gitbook.io/guide/_gitbook/icon31fa.png	(from https://42-cursus.gitbook.io/guide)
10:04:55	1482/1482	---MC-	200	added ('OK')	image/png	date:Mon,%2017%20Feb%202025%2009:04:55%20GMT	https://42-cursus.gitbook.io/guide/~gitbook/icon?size=small&theme=dark	42-cursus.gitbook.io/guide/_gitbook/icon01dc.png	(from https://42-cursus.gitbook.io/guide)
10:04:57	360128/360128	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202025%2009:04:56%20GMT	https://42-cursus.gitbook.io/guide/useful-tools	42-cursus.gitbook.io/guide/useful-tools.html	(from https://42-cursus.gitbook.io/guide)
10:04:58	565635/565635	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202025%2009:04:58%20GMT	https://42-cursus.gitbook.io/guide/useful-tools/header-files	42-cursus.gitbook.io/guide/useful-tools/header-files.html	(from https://42-cursus.gitbook.io/guide)
10:04:58	612952/612952	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202025%2009:04:58%20GMT	https://42-cursus.gitbook.io/guide/useful-tools/c-structures	42-cursus.gitbook.io/guide/useful-tools/c-structures.html	(from https://42-cursus.gitbook.io/guide)
10:05:00	352350/352350	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202025%2009:04:59%20GMT	https://42-cursus.gitbook.io/guide/useful-tools/linked-lists-todo	42-cursus.gitbook.io/guide/useful-tools/linked-lists-todo.html	(from https://42-cursus.gitbook.io/guide)
10:05:01	986210/986210	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202025%2009:05:00%20GMT	https://42-cursus.gitbook.io/guide/useful-tools/makefiles	42-cursus.gitbook.io/guide/useful-tools/makefiles.html	(from https://42-cursus.gitbook.io/guide)
10:05:02	407434/407434	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202025%2009:05:01%20GMT	https://42-cursus.gitbook.io/guide/useful-tools/switch-statement	42-cursus.gitbook.io/guide/useful-tools/switch-statement.html	(from https://42-cursus.gitbook.io/guide)
10:05:03	508483/508483	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202025%2009:05:02%20GMT	https://42-cursus.gitbook.io/guide/useful-tools/file-descriptors-fd	42-cursus.gitbook.io/guide/useful-tools/file-descriptors-fd.html	(from https://42-cursus.gitbook.io/guide)
10:05:04	385404/385404	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202025%2009:05:03%20GMT	https://42-cursus.gitbook.io/guide/minilibx	42-cursus.gitbook.io/guide/minilibx.html	(from https://42-cursus.gitbook.io/guide)
10:05:05	431495/431495	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202025%2009:05:04%20GMT	https://42-cursus.gitbook.io/guide/minilibx/minilibx-helper-function	42-cursus.gitbook.io/guide/minilibx/minilibx-helper-function.html	(from https://42-cursus.gitbook.io/guide)
10:05:06	467254/467254	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202025%2009:05:05%20GMT	https://42-cursus.gitbook.io/guide/minilibx/minilibx-hook-examples	42-cursus.gitbook.io/guide/minilibx/minilibx-hook-examples.html	(from https://42-cursus.gitbook.io/guide)
10:05:07	362581/362581	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202025%2009:05:06%20GMT	https://42-cursus.gitbook.io/guide/rank-00/libft	42-cursus.gitbook.io/guide/rank-00/libft.html	(from https://42-cursus.gitbook.io/guide)
10:05:08	385303/385303	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202025%2009:05:07%20GMT	https://42-cursus.gitbook.io/guide/rank-00/libft/libc-functions	42-cursus.gitbook.io/guide/rank-00/libft/libc-functions.html	(from https://42-cursus.gitbook.io/guide)
10:05:09	415716/415716	---MCZ	200	added ('OK')	text/html	date:Mon,%2017%20Feb%202025%2009:05:08%20GMT	https://42-cursus.gitbook.io/guide/rank-00/libft/libc-functions/ft_isalpha	42-cursus.gitbook.io/guide/rank-00/libft/libc-functions/ft_isalpha.html	(from https://42-cursus.gitbook.io/guide)
